213, 09/27/2021 17:00:09
333, 09/27/2021 17:00:10
44, 09/27/2021 17:00:10
5.5, 09/27/2021 17:00:11
6.78, 09/27/2021 17:00:11
7, 09/27/2021 17:00:11
8, 09/27/2021 17:00:12
9, 09/27/2021 17:00:12
5.5, 09/27/2021 17:00:13
44, 09/27/2021 17:00:14
213, 09/27/2021 17:00:14
333, 09/27/2021 17:00:15
44, 09/27/2021 17:00:15
5.5, 09/27/2021 17:00:15
6.78, 09/27/2021 17:00:15
7, 09/27/2021 17:00:16
85, 09/27/2021 17:11:33
6.78, 09/27/2021 17:11:34
, 09/27/2021 17:11:34
44, 09/27/2021 17:11:34
44, 09/27/2021 17:11:35
44, 09/27/2021 17:11:35
5.5, 09/27/2021 17:11:36
